Run,Train V-measure,Test V-measure
1,0.14512421295624003,0.06876466356517148
2,0.17607709590189274,0.06876466356517148
3,0.1638964857340963,0.015088203508322223
4,0.11914944604218713,0.015088203508322223
5,0.12380138036917034,0.06876466356517148
6,0.15729358941033458,0.06876466356517148
7,0.14152234824124107,0.0
8,0.14164713571829352,0.06876466356517148
9,0.13212926207993386,0.029944596847387952
10,0.1431136717479407,0.020931528470560363

Average Train V-measure,Std Dev Train V-measure,Average Test V-measure,Std Dev Test V-measure
0.14437546282013303,0.016674210233348533,0.042487585016045014,0.027168109072740323
